pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation_covariance,angular_velocity_covariance,linear_acceleration_covariance,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current
-2.5320382118225098,1.9920861721038816,1.2124823331832886,0.1321461349725723,-0.1461578458547592,0.7178683876991272,0.6677127480506897,0.0,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0011111111111111,0.0,0.04,0.04,0.03,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.0,-62.0,-43.0,-43.0
-2.532033999760946,1.9920820792516072,1.2124852339426677,0.13211624324321744,-0.14618982871373493,0.717857817808787,0.667723019917806,0.0044558048248291016,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0011111111111111,0.0,0.04,0.04,0.03,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.0,-62.0,-43.0,-43.0
-2.5320297876993814,1.9920779863993325,1.2124881347020466,0.13208635151386255,-0.14622181157271066,0.7178472479184469,0.6677332917849222,0.004568815231323242,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0011111111111111,0.0,0.04,0.04,0.03,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.066666666666666,-62.2,-42.0,-43.266666666666666
-2.5320255756378174,1.992073893547058,1.2124910354614258,0.1320564597845077,-0.1462537944316864,0.7178366780281067,0.6677435636520386,0.009723186492919922,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0010370370370370266,7.407407407407334e-05,0.04,0.03866666666666667,0.028666666666666667,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.133333333333333,-62.4,-41.0,-43.53333333333333
-2.532058954238892,1.9920822381973269,1.2125438451766968,0.132013201713562,-0.1463049501180648,0.7178303003311157,0.6677477359771729,0.0170135498046875,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0009629629629629533,0.00014814814814814668,0.04,0.037333333333333336,0.027333333333333334,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.2,-62.6,-40.0,-43.8
-2.5320191383361816,1.9921568632125852,1.2126201391220093,0.131984069943428,-0.1461182087659835,0.7180598974227905,0.6675474643707275,0.025403499603271484,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.00088888888888888,0.00022222222222222,0.04,0.036000000000000004,0.026,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.266666666666666,-62.8,-39.0,-44.06666666666667
-2.5320165157318115,1.9921051263809204,1.21259343624115,0.13205087184906,-0.1458610892295837,0.718116044998169,0.6675301194190979,0.034070730209350586,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0008148148148148066,0.00029629629629629337,0.04,0.034666666666666665,0.024666666666666667,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.333333333333332,-63.0,-38.0,-44.333333333333336
-2.5319995880126958,1.9920673370361328,1.2125287055969238,0.132071316242218,-0.1461829543113708,0.7179153561592102,0.6676715612411499,0.04306364059448242,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0007407407407407333,0.0003703703703703667,0.04,0.03333333333333333,0.023333333333333334,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.4,-63.2,-37.0,-44.6
-2.5320382118225098,1.9920828342437744,1.212509036064148,0.1321427524089813,-0.1461941301822662,0.7179358601570129,0.6676328778266907,0.05110287666320801,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.00066666666666666,0.00044444444444444,0.04,0.032,0.022,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.466666666666665,-63.4,-36.0,-44.86666666666667
-2.5320076942443848,1.9920604228973389,1.212518572807312,0.1320907920598983,-0.1463173627853393,0.7178419828414917,0.6677171587944031,0.059714317321777344,[0.0159 0.     0.     0.     0.0159 0.     0.     0.     0.0159],[0.04 0.   0.   0.   0.04 0.   0.   0.   0.04],[0.017 0.    0.    0.    0.017 0.    0.    0.    0.017],0.2227803976160846,0.0540166169562287,-0.8902060545837245,0.3936804286640399,0.0,0.0005925925925925866,0.0005185185185185134,0.04,0.03066666666666667,0.020666666666666667,41228.0,41225.0,41345.0,41342.0,0.0,0.0,0.0,0.0,-24.533333333333335,-63.6,-35.0,-45.13333333333333
