pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.508006,1.639809,1.06771,0.137482,-0.146969,0.71933,0.664879,25.532028,0.222849,0.051847,-0.890498,0.393273,-0.012876,-0.018301,-0.001765,-0.314706,-0.222941,0.048235,42817.0,42803.0,42947.0,42929.0,560.0,561.0,558.0,578.0,-88.0,-84.0,-153.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507934,1.639509,1.067528,0.137286,-0.146548,0.719351,0.664989,25.53682,0.222834,0.05189,-0.890496,0.393279,-0.013856,-0.020196,-0.001634,-0.321765,-0.242353,0.050588,42821.07,42807.07,42950.93,42933.0,559.5,560.5714,557.5714,577.2857,-88.0,-82.64286,-151.35715,-138.21428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507852,1.638516,1.067207,0.137688,-0.14582,0.719595,0.664802,25.545269,0.222819,0.051933,-0.890495,0.393285,-0.014837,-0.022092,-0.001503,-0.328824,-0.261765,0.052941,42825.145,42811.145,42954.855,42937.0,559.0,560.1429,557.1429,576.5714,-88.0,-81.28571,-149.71428,-137.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507773,1.638025,1.066967,0.13813,-0.14557,0.719675,0.664678,25.55527,0.222805,0.051976,-0.890493,0.393292,-0.015817,-0.023987,-0.001373,-0.335882,-0.281176,0.055294,42829.215,42815.215,42958.785,42941.0,558.5,559.7143,556.7143,575.8571,-88.0,-79.92857,-148.07143,-136.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.50763,1.637324,1.066621,0.138515,-0.145799,0.719484,0.664755,25.562704,0.22279,0.052019,-0.890491,0.393298,-0.016797,-0.025882,-0.001242,-0.342941,-0.300588,0.057647,42833.285,42819.285,42962.715,42945.0,558.0,559.2857,556.2857,575.1429,-88.0,-78.57143,-146.42857,-135.85715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507435,1.636937,1.066561,0.138513,-0.14588,0.719292,0.664945,25.568064,0.222775,0.052062,-0.89049,0.393305,-0.017778,-0.027778,-0.001111,-0.35,-0.32,0.06,42837.355,42823.355,42966.645,42949.0,557.5,558.8571,555.8571,574.4286,-88.0,-77.21429,-144.78572,-135.07143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507239,1.636551,1.0665,0.138512,-0.145961,0.7191,0.665135,25.572668,0.22264,0.052106,-0.890533,0.393278,-0.017778,-0.029286,-0.001667,-0.315,-0.304286,0.052857,42841.43,42827.43,42970.57,42953.0,557.0,558.4286,555.4286,573.7143,-88.0,-75.85714,-143.14285,-134.28572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507115,1.635805,1.066067,0.137323,-0.14531,0.718894,0.665747,25.58185,0.222504,0.052149,-0.890576,0.393252,-0.017778,-0.030794,-0.002222,-0.28,-0.288571,0.045714,42845.5,42831.5,42974.5,42957.0,556.5,558.0,555.0,573.0,-88.0,-74.5,-141.5,-133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507068,1.63493,1.065604,0.137036,-0.145202,0.719207,0.665491,25.589634,0.222369,0.052193,-0.890618,0.393225,-0.017778,-0.032302,-0.002778,-0.245,-0.272857,0.038571,42849.57,42835.57,42978.43,42961.0,556.0,557.5714,554.5714,572.2857,-88.0,-73.14286,-139.85715,-132.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507311,1.634222,1.065341,0.1375,-0.145443,0.719346,0.665192,25.597048,0.222234,0.052236,-0.890661,0.393199,-0.017778,-0.03381,-0.003333,-0.21,-0.257143,0.031429,42853.645,42839.645,42982.355,42965.0,555.5,557.1429,554.1429,571.5714,-88.0,-71.78571,-138.21428,-131.92857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
